LECROYWR104MXi,22915,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2016 07:38:48,0                 
Time,Ampl
-2.160254e-008,-0.000189433
-2.150254e-008,-0.00978906
-2.140254e-008,-0.00338931
-2.130254e-008,-0.00658919
-2.120254e-008,-0.000189433
-2.110254e-008,-0.00658919
-2.100254e-008,-0.0129889
-2.090254e-008,-0.0161888
-2.080254e-008,-0.0161888
-2.070254e-008,-0.0193887
-2.060254e-008,-0.0257884
-2.050254e-008,-0.0193887
-2.040254e-008,-0.00978906
-2.030254e-008,-0.00978906
-2.020254e-008,-0.00338931
-2.010254e-008,-0.00978906
-2.000254e-008,-0.0129889
-1.990254e-008,-0.0193887
-1.980254e-008,-0.0161888
-1.970254e-008,-0.00978906
-1.960254e-008,-0.00338931
-1.950254e-008,-0.00338931
-1.940254e-008,0.00301044
-1.930254e-008,0.00301044
-1.920254e-008,-0.000189433
-1.910254e-008,-0.000189433
-1.900254e-008,0.00301044
-1.890254e-008,-0.00338931
-1.880254e-008,-0.000189433
-1.870254e-008,-0.00338931
-1.860254e-008,-0.00978906
-1.850254e-008,-0.0129889
-1.840254e-008,-0.00978906
-1.830254e-008,-0.00658919
-1.820254e-008,-0.0129889
-1.810254e-008,-0.00658919
-1.800254e-008,-0.00978906
-1.790254e-008,-0.00338931
-1.780254e-008,-0.00978906
-1.770254e-008,-0.0129889
-1.760254e-008,-0.0161888
-1.750254e-008,-0.0161888
-1.740254e-008,-0.0161888
-1.730254e-008,-0.0129889
-1.720254e-008,-0.00338931
-1.710254e-008,-0.000189433
-1.700254e-008,0.00301044
-1.690254e-008,-0.000189433
-1.680254e-008,-0.00658919
-1.670254e-008,-0.00338931
-1.660254e-008,0.00301044
-1.650254e-008,-0.000189433
-1.640254e-008,0.00621032
-1.630254e-008,-0.00338931
-1.620254e-008,-0.00338931
-1.610254e-008,-0.00978906
-1.600254e-008,-0.00338931
-1.590254e-008,-0.00658919
-1.580254e-008,-0.00658919
-1.570254e-008,-0.00978906
-1.560254e-008,-0.00658919
-1.550254e-008,-0.00658919
-1.540254e-008,-0.00338931
-1.530254e-008,-0.00338931
-1.520254e-008,-0.00658919
-1.510254e-008,-0.00658919
