LECROYWR104MXi,22915,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2016 07:38:31,0                 
Time,Ampl
-2.169812e-008,-0.0161888
-2.159812e-008,-0.0193887
-2.149812e-008,-0.0193887
-2.139812e-008,-0.0161888
-2.129812e-008,-0.00658919
-2.119812e-008,-0.00338931
-2.109812e-008,-0.00338931
-2.099812e-008,-0.000189433
-2.089812e-008,-0.00658919
-2.079812e-008,-0.000189433
-2.069812e-008,-0.00658919
-2.059812e-008,-0.00658919
-2.049812e-008,-0.00658919
-2.039812e-008,-0.00658919
-2.029812e-008,-0.00978906
-2.019812e-008,-0.00338931
-2.009812e-008,-0.00338931
-1.999812e-008,-0.00338931
-1.989812e-008,0.00301044
-1.979812e-008,0.00301044
-1.969812e-008,-0.000189433
-1.959812e-008,-0.00658919
-1.949812e-008,-0.00338931
-1.939812e-008,-0.000189433
-1.929812e-008,-0.00338931
-1.919812e-008,-0.00338931
-1.909812e-008,-0.0129889
-1.899812e-008,-0.0129889
-1.889812e-008,-0.0161888
-1.879812e-008,-0.0129889
-1.869812e-008,-0.0129889
-1.859812e-008,-0.0161888
-1.849812e-008,-0.0129889
-1.839812e-008,-0.00658919
-1.829812e-008,-0.00658919
-1.819812e-008,-0.00338931
-1.809812e-008,-0.00658919
-1.799812e-008,-0.00338931
-1.789812e-008,-0.00338931
-1.779812e-008,0.00301044
-1.769812e-008,-0.000189433
-1.759812e-008,-0.00658919
-1.749812e-008,-0.00338931
-1.739812e-008,-0.000189433
-1.729812e-008,-0.00658919
-1.719812e-008,-0.00978906
-1.709812e-008,-0.00658919
-1.699812e-008,-0.00658919
-1.689812e-008,-0.00338931
-1.679812e-008,-0.00338931
-1.669812e-008,-0.00338931
-1.659812e-008,-0.00338931
-1.649812e-008,-0.000189433
-1.639812e-008,0.00301044
-1.629812e-008,-0.000189433
-1.619812e-008,-0.00658919
-1.609812e-008,-0.0129889
-1.599812e-008,-0.0129889
-1.589812e-008,-0.0129889
-1.579812e-008,-0.0129889
-1.569812e-008,-0.00978906
-1.559812e-008,-0.00658919
-1.549812e-008,-0.00658919
-1.539812e-008,-0.00658919
-1.529812e-008,-0.00658919
-1.519812e-008,-0.000189433
-1.509812e-008,-0.00338931
-1.499812e-008,-0.00658919
-1.489812e-008,-0.0129889
-1.479812e-008,-0.00978906
-1.469812e-008,-0.00658919
-1.459812e-008,0.00301044
-1.449812e-008,-0.000189433
-1.439812e-008,0.0094102
-1.429812e-008,0.00621032
-1.419812e-008,0.00301044
-1.409812e-008,0.00621032
-1.399812e-008,-0.000189433
-1.389812e-008,-0.00338931
-1.379812e-008,-0.00658919
-1.369812e-008,-0.000189433
-1.359812e-008,0.00301044
-1.349812e-008,0.00301044
-1.339812e-008,0.00301044
-1.329812e-008,-0.000189433
-1.319812e-008,-0.00338931
-1.309812e-008,-0.00338931
-1.299812e-008,-0.00338931
-1.289812e-008,-0.00338931
-1.279812e-008,-0.0129889
-1.269812e-008,-0.00978906
-1.259812e-008,-0.00658919
-1.249812e-008,-0.0161888
-1.239812e-008,-0.00338931
-1.229812e-008,-0.000189433
-1.219812e-008,-0.000189433
-1.209812e-008,-0.000189433
-1.199812e-008,-0.000189433
-1.189812e-008,-0.00338931
-1.179812e-008,-0.00658919
-1.169812e-008,-0.00978906
-1.159812e-008,-0.000189433
-1.149812e-008,-0.00338931
-1.139812e-008,-0.00338931
-1.129812e-008,-0.00978906
-1.119812e-008,-0.00338931
-1.109812e-008,-0.00338931
-1.099812e-008,0.00301044
-1.089812e-008,-0.00658919
-1.079812e-008,-0.00658919
-1.069812e-008,-0.0129889
-1.059812e-008,-0.0129889
-1.049812e-008,-0.00978906
-1.039812e-008,-0.00658919
-1.029812e-008,-0.00338931
-1.019812e-008,-0.000189433
-1.009812e-008,-0.00338931
-9.99812e-009,-0.000189433
-9.89812e-009,-0.000189433
-9.79812e-009,-0.00658919
-9.69812e-009,-0.00658919
-9.59812e-009,-0.00978906
-9.49812e-009,-0.00658919
-9.39812e-009,-0.00658919
-9.29812e-009,-0.00338931
-9.19812e-009,-0.000189433
-9.09812e-009,-0.00658919
-8.99812e-009,-0.00658919
-8.89812e-009,-0.00978906
-8.79812e-009,-0.000189433
-8.69812e-009,-0.00658919
-8.59812e-009,-0.00338931
-8.49812e-009,-0.00338931
-8.39812e-009,-0.000189433
-8.29812e-009,-0.000189433
-8.19812e-009,-0.00338931
-8.09812e-009,-0.00658919
-7.99812e-009,-0.00338931
-7.89812e-009,-0.00338931
-7.79812e-009,-0.000189433
-7.69812e-009,-0.000189433
-7.59812e-009,0.00621032
-7.49812e-009,0.0094102
-7.39812e-009,0.00621032
-7.29812e-009,0.00621032
-7.19812e-009,0.00301044
-7.09812e-009,-0.000189433
-6.99812e-009,-0.000189433
-6.89812e-009,-0.00338931
-6.79812e-009,-0.00338931
-6.69812e-009,-0.00658919
-6.59812e-009,-0.0129889
-6.49812e-009,-0.00978906
-6.39812e-009,-0.00978906
-6.29812e-009,-0.00658919
-6.19812e-009,-0.00338931
-6.09812e-009,-0.00338931
-5.99812e-009,-0.00658919
-5.89812e-009,-0.000189433
-5.79812e-009,-0.00338931
-5.69812e-009,-0.00338931
-5.59812e-009,-0.00658919
-5.49812e-009,-0.00658919
-5.39812e-009,-0.00978906
-5.29812e-009,-0.00978906
-5.19812e-009,-0.00658919
-5.09812e-009,-0.00978906
-4.99812e-009,-0.00658919
-4.89812e-009,-0.00658919
-4.79812e-009,-0.000189433
-4.69812e-009,0.00621032
-4.59812e-009,-0.000189433
-4.49812e-009,-0.000189433
-4.39812e-009,-0.00658919
-4.29812e-009,-0.00978906
-4.19812e-009,-0.00658919
-4.09812e-009,-0.000189433
-3.99812e-009,-0.00658919
-3.89812e-009,-0.00338931
-3.79812e-009,-0.00338931
-3.69812e-009,-0.00658919
-3.59812e-009,-0.00658919
-3.49812e-009,-0.00658919
-3.39812e-009,-0.00658919
-3.29812e-009,-0.00658919
-3.19812e-009,-0.00338931
-3.09812e-009,-0.00658919
-2.99812e-009,-0.00338931
-2.89812e-009,-0.00658919
-2.79812e-009,-0.00338931
-2.69812e-009,-0.00658919
-2.59812e-009,-0.00338931
-2.49812e-009,-0.00658919
-2.39812e-009,0.00301044
-2.29812e-009,-0.000189433
-2.19812e-009,-0.000189433
-2.09812e-009,-0.00658919
-1.99812e-009,-0.00338931
-1.89812e-009,-0.00658919
-1.79812e-009,-0.000189433
-1.69812e-009,-0.000189433
-1.59812e-009,-0.00338931
-1.49812e-009,-0.00338931
-1.39812e-009,-0.00338931
-1.29812e-009,-0.00658919
-1.19812e-009,-0.00658919
-1.09812e-009,-0.00338931
-9.981203e-010,-0.00338931
-8.981203e-010,-0.00338931
-7.981203e-010,-0.00338931
-6.981203e-010,-0.000189433
-5.981203e-010,-0.000189433
-4.981203e-010,-0.00338931
-3.981203e-010,-0.00338931
-2.981203e-010,-0.00338931
-1.981203e-010,-0.00658919
-9.812029e-011,-0.000189433
1.879712e-012,0.01581
1.018797e-010,0.0382091
2.018797e-010,0.0798075
3.018797e-010,0.121406
4.018797e-010,0.156605
5.018797e-010,0.179004
6.018797e-010,0.188603
7.018797e-010,0.182204
8.018797e-010,0.156605
9.018797e-010,0.137405
1.00188e-009,0.140605
1.10188e-009,0.124606
1.20188e-009,0.121406
1.30188e-009,0.108606
1.40188e-009,0.108606
1.50188e-009,0.102207
1.60188e-009,0.0958069
1.70188e-009,0.0958069
1.80188e-009,0.0894071
1.90188e-009,0.0734077
2.00188e-009,0.0574084
2.10188e-009,0.0574084
2.20188e-009,0.0766076
2.30188e-009,0.0766076
2.40188e-009,0.0702079
2.50188e-009,0.067008
2.60188e-009,0.0638081
2.70188e-009,0.0734077
2.80188e-009,0.0734077
2.90188e-009,0.0638081
3.00188e-009,0.0638081
3.10188e-009,0.0574084
3.20188e-009,0.0574084
3.30188e-009,0.0478087
3.40188e-009,0.0446088
3.50188e-009,0.041409
3.60188e-009,0.0350092
3.70188e-009,0.0350092
3.80188e-009,0.0318093
3.90188e-009,0.0350092
4.00188e-009,0.0382091
4.10188e-009,0.0382091
4.20188e-009,0.0318093
4.30188e-009,0.0286095
4.40188e-009,0.0286095
4.50188e-009,0.0286095
4.60188e-009,0.0254096
4.70188e-009,0.0286095
4.80188e-009,0.0318093
4.90188e-009,0.041409
5.00188e-009,0.0478087
5.10188e-009,0.0446088
5.20188e-009,0.0446088
5.30188e-009,0.0350092
5.40188e-009,0.0350092
5.50188e-009,0.0286095
5.60188e-009,0.0254096
5.70188e-009,0.0254096
5.80188e-009,0.01581
5.90188e-009,0.0190098
6.00188e-009,0.0222097
6.10188e-009,0.0254096
6.20188e-009,0.0222097
6.30188e-009,0.0190098
