LECROYWR104MXi,22915,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2016 07:33:59,0                 
Time,Ampl
-2.168855e-008,-0.0129889
-2.158855e-008,-0.0129889
-2.148855e-008,-0.00658919
-2.138855e-008,-0.0129889
-2.128855e-008,-0.00658919
-2.118855e-008,-0.00658919
-2.108855e-008,-0.00338931
-2.098855e-008,-0.00338931
-2.088855e-008,-0.000189433
-2.078855e-008,-0.00978906
-2.068855e-008,-0.0129889
-2.058855e-008,-0.0129889
-2.048855e-008,-0.00978906
-2.038855e-008,-0.00658919
-2.028855e-008,-0.00338931
-2.018855e-008,0.00301044
-2.008855e-008,-0.000189433
-1.998855e-008,0.00301044
-1.988855e-008,-0.000189433
-1.978855e-008,-0.000189433
-1.968855e-008,-0.00338931
-1.958855e-008,-0.00338931
-1.948855e-008,0.00301044
-1.938855e-008,-0.000189433
-1.928855e-008,-0.000189433
-1.918855e-008,-0.000189433
-1.908855e-008,-0.00338931
-1.898855e-008,-0.0129889
-1.888855e-008,-0.00978906
-1.878855e-008,-0.00658919
-1.868855e-008,-0.0129889
-1.858855e-008,-0.00978906
-1.848855e-008,-0.00338931
-1.838855e-008,-0.00978906
-1.828855e-008,-0.00978906
-1.818855e-008,-0.00658919
-1.808855e-008,-0.000189433
-1.798855e-008,-0.00658919
-1.788855e-008,-0.00658919
-1.778855e-008,-0.00658919
-1.768855e-008,-0.00658919
-1.758855e-008,-0.00978906
-1.748855e-008,-0.00978906
-1.738855e-008,-0.00978906
-1.728855e-008,-0.0129889
-1.718855e-008,-0.0129889
-1.708855e-008,-0.00978906
-1.698855e-008,-0.00978906
-1.688855e-008,-0.00338931
-1.678855e-008,-0.00338931
-1.668855e-008,-0.00658919
-1.658855e-008,-0.00338931
-1.648855e-008,-0.00658919
-1.638855e-008,-0.00658919
-1.628855e-008,-0.00338931
-1.618855e-008,-0.00338931
-1.608855e-008,-0.00658919
-1.598855e-008,-0.00338931
-1.588855e-008,-0.00658919
-1.578855e-008,-0.00338931
-1.568855e-008,-0.00338931
-1.558855e-008,-0.00658919
-1.548855e-008,-0.00978906
-1.538855e-008,-0.0129889
-1.528855e-008,-0.00658919
-1.518855e-008,-0.00658919
-1.508855e-008,-0.00658919
-1.498855e-008,-0.00338931
-1.488855e-008,-0.00338931
-1.478855e-008,-0.00658919
-1.468855e-008,-0.00658919
-1.458855e-008,-0.00658919
-1.448855e-008,-0.00658919
-1.438855e-008,-0.00658919
-1.428855e-008,-0.00338931
-1.418855e-008,-0.000189433
-1.408855e-008,-0.00978906
-1.398855e-008,-0.00978906
-1.388855e-008,-0.00658919
-1.378855e-008,-0.0129889
-1.368855e-008,-0.00978906
-1.358855e-008,-0.00658919
-1.348855e-008,-0.0129889
-1.338855e-008,-0.00978906
-1.328855e-008,-0.000189433
-1.318855e-008,-0.00658919
-1.308855e-008,-0.000189433
-1.298855e-008,0.00301044
-1.288855e-008,-0.00338931
-1.278855e-008,-0.00338931
-1.268855e-008,0.00301044
-1.258855e-008,-0.000189433
-1.248855e-008,-0.000189433
-1.238855e-008,-0.00978906
-1.228855e-008,-0.00978906
-1.218855e-008,-0.00978906
-1.208855e-008,-0.00658919
-1.198855e-008,-0.000189433
-1.188855e-008,-0.000189433
-1.178855e-008,-0.000189433
-1.168855e-008,-0.00338931
-1.158855e-008,-0.00338931
-1.148855e-008,-0.00338931
-1.138855e-008,-0.00338931
-1.128855e-008,-0.000189433
-1.118855e-008,-0.0129889
-1.108855e-008,-0.00658919
-1.098855e-008,-0.00978906
-1.088855e-008,-0.00338931
-1.078855e-008,-0.00978906
-1.068855e-008,-0.00978906
-1.058855e-008,-0.0129889
-1.048855e-008,-0.00338931
-1.038855e-008,0.00621032
-1.028855e-008,0.00621032
