LECROYWR104MXi,22915,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2016 07:34:22,0                 
Time,Ampl
-2.168752e-008,-0.00338931
-2.158752e-008,-0.00658919
-2.148752e-008,-0.0129889
-2.138752e-008,-0.00658919
-2.128752e-008,-0.00658919
-2.118752e-008,-0.00978906
-2.108752e-008,-0.00978906
-2.098752e-008,-0.00978906
-2.088752e-008,-0.00658919
-2.078752e-008,-0.00338931
-2.068752e-008,-0.00658919
-2.058752e-008,-0.00978906
-2.048752e-008,-0.00978906
-2.038752e-008,-0.00658919
-2.028752e-008,-0.0129889
-2.018752e-008,-0.00658919
-2.008752e-008,-0.0129889
-1.998752e-008,-0.00978906
-1.988752e-008,-0.00658919
-1.978752e-008,-0.00338931
-1.968752e-008,-0.00658919
-1.958752e-008,-0.00658919
-1.948752e-008,-0.0161888
-1.938752e-008,-0.00978906
-1.928752e-008,-0.00978906
-1.918752e-008,-0.00658919
-1.908752e-008,-0.00978906
-1.898752e-008,-0.00338931
-1.888752e-008,-0.00338931
-1.878752e-008,-0.00338931
-1.868752e-008,-0.00658919
-1.858752e-008,-0.000189433
-1.848752e-008,-0.00658919
-1.838752e-008,-0.000189433
-1.828752e-008,-0.00658919
-1.818752e-008,-0.0129889
-1.808752e-008,-0.00658919
-1.798752e-008,-0.00658919
-1.788752e-008,-0.00658919
-1.778752e-008,-0.00658919
-1.768752e-008,-0.00658919
-1.758752e-008,-0.00338931
-1.748752e-008,0.00301044
-1.738752e-008,-0.00658919
-1.728752e-008,-0.00978906
-1.718752e-008,-0.00658919
-1.708752e-008,-0.00658919
-1.698752e-008,-0.00658919
-1.688752e-008,-0.00658919
-1.678752e-008,-0.00658919
-1.668752e-008,-0.00338931
-1.658752e-008,-0.00338931
-1.648752e-008,-0.00338931
-1.638752e-008,-0.000189433
-1.628752e-008,-0.000189433
-1.618752e-008,-0.00658919
-1.608752e-008,-0.0129889
-1.598752e-008,-0.00658919
-1.588752e-008,-0.00978906
-1.578752e-008,-0.0161888
-1.568752e-008,-0.00978906
-1.558752e-008,-0.00978906
-1.548752e-008,-0.000189433
-1.538752e-008,0.00301044
-1.528752e-008,-0.000189433
-1.518752e-008,0.00621032
-1.508752e-008,0.00301044
-1.498752e-008,-0.000189433
-1.488752e-008,-0.00338931
-1.478752e-008,0.00301044
-1.468752e-008,-0.000189433
-1.458752e-008,-0.000189433
-1.448752e-008,-0.00978906
-1.438752e-008,-0.00978906
-1.428752e-008,-0.00978906
-1.418752e-008,-0.00658919
-1.408752e-008,-0.00658919
-1.398752e-008,-0.00338931
-1.388752e-008,-0.0129889
-1.378752e-008,-0.0129889
-1.368752e-008,-0.00978906
-1.358752e-008,-0.00978906
-1.348752e-008,-0.00978906
-1.338752e-008,-0.00658919
-1.328752e-008,-0.0161888
-1.318752e-008,-0.0225886
-1.308752e-008,-0.0193887
-1.298752e-008,-0.00978906
-1.288752e-008,-0.00978906
-1.278752e-008,-0.0161888
-1.268752e-008,-0.00658919
-1.258752e-008,0.00301044
-1.248752e-008,0.00301044
-1.238752e-008,0.00301044
-1.228752e-008,-0.00338931
-1.218752e-008,-0.00338931
-1.208752e-008,-0.00658919
-1.198752e-008,-0.00658919
-1.188752e-008,-0.00978906
-1.178752e-008,-0.00338931
-1.168752e-008,-0.00658919
-1.158752e-008,-0.00338931
-1.148752e-008,-0.00978906
-1.138752e-008,-0.00658919
-1.128752e-008,-0.00658919
-1.118752e-008,-0.00338931
-1.108752e-008,-0.00658919
-1.098752e-008,-0.00338931
-1.088752e-008,-0.0129889
-1.078752e-008,-0.0161888
-1.068752e-008,-0.00978906
-1.058752e-008,-0.00978906
-1.048752e-008,-0.0161888
-1.038752e-008,-0.0129889
-1.028752e-008,-0.0129889
-1.018752e-008,-0.0161888
-1.008752e-008,-0.0161888
-9.987516e-009,-0.0161888
-9.887516e-009,-0.0161888
-9.787516e-009,-0.00978906
-9.687516e-009,-0.00978906
-9.587516e-009,-0.00978906
-9.487516e-009,-0.00978906
-9.387516e-009,-0.00338931
-9.287516e-009,-0.00658919
-9.187516e-009,-0.000189433
-9.087516e-009,-0.00338931
-8.987516e-009,-0.00338931
-8.887516e-009,-0.00658919
-8.787516e-009,-0.000189433
-8.687516e-009,-0.00338931
-8.587516e-009,-0.00338931
-8.487516e-009,-0.00978906
-8.387516e-009,-0.00978906
-8.287516e-009,0.00301044
-8.187516e-009,-0.000189433
-8.087516e-009,-0.00338931
