LECROYWR104MXi,22915,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2016 07:36:03,0                 
Time,Ampl
-2.167544e-008,0.00301044
-2.157544e-008,0.0094102
-2.147544e-008,0.0126101
-2.137544e-008,0.00621032
-2.127544e-008,0.00621032
-2.117544e-008,-0.000189433
-2.107544e-008,-0.00338931
-2.097544e-008,-0.00338931
-2.087544e-008,-0.000189433
-2.077544e-008,0.00301044
-2.067544e-008,-0.00658919
-2.057544e-008,-0.00658919
-2.047544e-008,-0.0129889
-2.037544e-008,-0.0193887
-2.027544e-008,-0.0129889
-2.017544e-008,-0.0129889
-2.007544e-008,-0.00658919
-1.997544e-008,-0.00338931
-1.987544e-008,-0.00658919
-1.977544e-008,-0.00658919
-1.967544e-008,-0.00658919
-1.957544e-008,0.00301044
-1.947544e-008,-0.00658919
-1.937544e-008,-0.00658919
-1.927544e-008,-0.00978906
-1.917544e-008,-0.00658919
-1.907544e-008,-0.00978906
-1.897544e-008,-0.00658919
-1.887544e-008,-0.00978906
-1.877544e-008,-0.00338931
-1.867544e-008,-0.00978906
-1.857544e-008,-0.0193887
-1.847544e-008,-0.0129889
-1.837544e-008,-0.00338931
-1.827544e-008,-0.00338931
-1.817544e-008,-0.00658919
-1.807544e-008,-0.0129889
-1.797544e-008,-0.0225886
-1.787544e-008,-0.0161888
-1.777544e-008,-0.0161888
-1.767544e-008,-0.00978906
-1.757544e-008,-0.00978906
-1.747544e-008,-0.00978906
-1.737544e-008,-0.0129889
-1.727544e-008,-0.00658919
-1.717544e-008,-0.000189433
-1.707544e-008,-0.00338931
-1.697544e-008,-0.000189433
-1.687544e-008,-0.00338931
-1.677544e-008,-0.00338931
-1.667544e-008,-0.00338931
-1.657544e-008,-0.00338931
-1.647544e-008,-0.00978906
-1.637544e-008,-0.00658919
-1.627544e-008,-0.0129889
-1.617544e-008,-0.00658919
-1.607544e-008,-0.00658919
-1.597544e-008,-0.00978906
-1.587544e-008,-0.0129889
-1.577544e-008,-0.00658919
-1.567544e-008,-0.00978906
-1.557544e-008,-0.00658919
